"round","question_number","difficulty","question_text","option_a","option_b","option_c","option_d","correct_answer","image_url","category"
"1","1","easy","Elphaba sings which soaring anthem at the end of Act One in Wicked?","No Good Deed","Popular","The Wizard and I","Defying Gravity","D","","Musical Theater"
"1","2","easy","In The Sound of Music, what governess does the song ""How do you solve a problem like...?"" refer to?","Gretl","Brigitta","Maria","Liesl","C","","Musical Theater"
"1","3","easy","In Chicago, what sultry opening number introduces audiences to 1920s vaudeville and murder?","Cell Block Tango","When You're Good to Mama","Razzle Dazzle","All That Jazz","D","","Musical Theater"
"1","4","easy","In Les Misérables, what is the prisoner number of protagonist Jean Valjean?","38455","12345","24601","17890","C","","Musical Theater"
"1","5","easy","In Rent, what song asks ""How do you measure a year in the life?""","La Vie Bohème","One Song Glory","Without You","Seasons of Love","D","","Musical Theater"
"1","6","easy","Leslie Odom Jr. won the 2016 Tony Award for Best Actor in a Musical for playing which historical figure in Hamilton?","George Washington","Marquis de Lafayette","Thomas Jefferson","Aaron Burr","D","","Musical Theater"
"1","7","medium","Which prolific British composer wrote Cats, Evita, and Jesus Christ Superstar?","Cameron Mackintosh","Tim Rice","Andrew Lloyd Webber","Trevor Nunn","C","","Musical Theater"
"1","8","medium","Which show, based on the story of Peron-era Argentina's First Lady, features the song ""Don't Cry for Me Argentina""?","Evita","Miss Saigon","Chicago","Cabaret","A","","Musical Theater"
"1","9","medium","Which musical, based on S.E. Hinton's novel, won Best Musical at the 2024 Tony Awards?","The Outsiders","Suffs","Hell's Kitchen","Illinoise","A","","Musical Theater"
"1","10","medium","Which 1943 Rodgers and Hammerstein musical, set in the early 1900s American heartland, opens with the song ""Oh, What a Beautiful Mornin'""?","South Pacific","The King and I","Oklahoma!","Carousel","C","","Musical Theater"
"1","11","medium","Which musical about a poor Jewish milkman in 1905 Russia features the song ""If I Were a Rich Man""?","Funny Girl","Cabaret","Ragtime","Fiddler on the Roof","D","","Musical Theater"
"1","12","medium","Which Broadway hit, based on ABBA songs, features a wedding on a Greek island?","Waitress","Moulin Rouge!","Jersey Boys","Mamma Mia!","D","","Musical Theater"
"1","13","medium","In The Phantom of the Opera, who is the young opera singer the Phantom becomes obsessed with?","Madame Giry","Carlotta Giudicelli","Christine Daaé","Meg Giry","C","","Musical Theater"
"1","14","medium","Which musical, based on a Roald Dahl book, features a precocious girl with telekinetic powers?","School of Rock","Charlie and the Chocolate Factory","Fun Home","Matilda","D","","Musical Theater"
"1","15","medium","Which musical features an orphan girl, the evil Miss Hannigan, and the song ""Tomorrow""?","Annie","Oliver!","Billy Elliot","Newsies","A","","Musical Theater"
"2","1","easy","Which country music legend, known for wearing all black, recorded ""Folsom Prison Blues"" and ""Ring of Fire""?","Merle Haggard","Johnny Cash","George Jones","Waylon Jennings","B","","Country"
"2","2","easy","Dolly Parton wrote and first recorded which 1973 country ballad, later a global smash for Whitney Houston?","Coat of Many Colors","Jolene","I Will Always Love You","9 to 5","C","","Country"
"2","3","easy","Which Kenny Rogers hit, now a classic poker-table anthem, tells you to know when to hold 'em and fold 'em?","Lucille","The Gambler","Coward of the County","Lady","B","","Country"
"2","4","easy","Which country star recorded the signature hit ""Friends in Low Places"" in 1990?","Tim McGraw","George Strait","Alan Jackson","Garth Brooks","D","","Country"
"2","5","easy","Which pop superstar started her career in country music, with early hits like ""Tim McGraw"" and ""Our Song""?","Taylor Swift","Kelly Clarkson","Miley Cyrus","Katy Perry","A","","Country"
"2","6","easy","What Nashville venue, ""The Mother Church of Country Music,"" hosts live radio broadcasts dating back to 1925?","Grand Ole Opry","Bluebird Cafe","Bridgestone Arena","Ryman Auditorium","A","","Country"
"2","7","medium","Which country singer's 2023 song ""Try That in a Small Town"" shot to #1 on the Billboard Hot 100 amid cultural controversy?","Jason Aldean","Tyler Childers","Riley Green","Cody Johnson","A","","Country"
"2","8","medium","Which country singer collaborated with Lil Nas X on the 2019 genre-blending mega-hit ""Old Town Road""?","Blake Shelton","Keith Urban","Luke Bryan","Billy Ray Cyrus","D","","Country"
"2","9","medium","Which country artist won the fourth season of American Idol in 2005 and has since won multiple Grammys?","Kellie Pickler","Martina McBride","Carrie Underwood","Miranda Lambert","C","","Country"
"2","10","medium","Which Morgan Wallen song spent 16 weeks at #1 on the Billboard Hot 100 in 2023 — the longest run for a solo male artist?","Whiskey Glasses","Wasted on You","Last Night","Thought You Should Know","C","","Country"
"2","11","medium","Which country artist's 2023 crossover hit ""Fast Car"" was a cover of Tracy Chapman's 1988 original?","Thomas Rhett","Sam Hunt","Luke Combs","Dan + Shay","C","","Country"
"2","12","medium","Which 2023 Jelly Roll hit, a gritty plea for guidance, was his first #1 on country radio?","Son of a Sinner","Save Me","Halfway to Hell","Need a Favor","D","","Country"
"2","13","medium","Which Canadian country star released the 1997 album ""Come On Over"" — the best-selling album by a female country artist?","Faith Hill","Reba McEntire","Shania Twain","LeAnn Rimes","C","","Country"
"2","14","medium","Which artist's 2024 song ""A Bar Song (Tipsy)"" tied the all-time record for most weeks at #1 on the Billboard Hot 100?","Old Dominion","Lainey Wilson","Shaboozey","Chris Janson","C","","Country"
"2","15","medium","Which 2021 Walker Hayes hit name-drops Applebee's and sparked a massive TikTok dance trend?","AA","Fancy Like","Y'all Life","Craig","B","","Country"
"3","1","easy","Celine Dion's Oscar-winning song ""My Heart Will Go On"" was the love theme from which 1997 blockbuster?","Pearl Harbor","Titanic","Ghost","Armageddon","B","","Movie Soundtracks"
"3","2","easy","Which song by the Bee Gees kicks off the 1977 Saturday Night Fever soundtrack and became an instant disco anthem?","Stayin' Alive","How Deep Is Your Love","You Should Be Dancing","Night Fever","A","","Movie Soundtracks"
"3","3","easy","Which 1978 movie musical starred John Travolta and Olivia Newton-John with songs like ""Summer Nights"" and ""You're the One That I Want""?","Grease","Dirty Dancing","Hairspray","Footloose","A","","Movie Soundtracks"
"3","4","easy","Who sang the #1 theme song for the 1984 film Ghostbusters?","Huey Lewis","Billy Ocean","Ray Parker Jr.","Lionel Richie","C","","Movie Soundtracks"
